sample_name	description	bioproject_id	sample_title	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id
p6z2tr4	S1		S1	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z1tr66	S2		S2	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z1tr67	S3		S3	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z1tr12	S4		S4	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z2tr68	S5		S5	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z1tr19	S6		S6	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z1tr23	S7		S7	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z1tr40	S8		S8	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p7z2tr51	S9		S9	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr52	S10		S10	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr22	S11		S11	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr53	S12		S12	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr54	S13		S13	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr55	S14		S14	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr57	S15		S15	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr23	S16		S16	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr4	S17		S17	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr63	S18		S18	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr7	S19		S19	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr48	S20		S20	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr8	S21		S21	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr9	S22		S22	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr10	S23		S23	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr11	S24		S24	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr65	S25		S25	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr24	S26		S26	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr26	S27		S27	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr27	S28		S28	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j26tr28	S29		S29	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr29	S30		S30	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr31	S31		S31	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr32	S32		S32	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr33	S33		S33	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr52	S34		S34	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr34	S35		S35	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr53	S36		S36	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr55	S37		S37	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr56	S38		S38	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr57	S39		S39	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr58	S40		S40	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr59	S41		S41	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr60	S42		S42	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr26	S43		S43	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr61	S44		S44	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr62	S45		S45	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr63	S46		S46	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j22tr27	S47		S47	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr64	S48		S48	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr65	S49		S49	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j31tr66	S50		S50	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z1tr24	S51		S51	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z2tr44	S52		S52	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
p6z2tr63	S53		S53	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr68	S54		S54	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr69	S55		S55	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr70	S56		S56	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr71	S57		S57	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr72	S58		S58	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr73	S59		S59	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr74	S60		S60	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr75	S61		S61	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr76	S62		S62	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr77	S63		S63	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr78	S64		S64	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr48	S65		S65	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr49	S66		S66	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr51	S67		S67	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr52	S68		S68	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr53	S69		S69	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
j56tr27	S70		S70	bacteria	human	vaginal fluid	missing	Seattle USA	not collected						
